nganh_nghe,nghe_nghiep,MBTI,MBTI_code,Holland_code,Big5_O,Big5_C,Big5_E,Big5_A,Big5_N,DISC_type,DISC_code,Toan,Ly,Hoa,Sinh,Van,Anh,Tin,Dia,Su
Y tế - Giáo dục,Giáo viên,ESFJ,ESFJ,SEI,64,78,67,94,10,Steadiness,S,6.5,5.5,5.5,6.0,8.0,6.5,6.0,7.0,7.0
Y tế - Giáo dục,Giáo viên,ESFJ,ESFJ,SEI,62,81,74,91,17,Steadiness,S,6.7,5.7,5.7,6.2,8.2,6.7,6.2,7.2,7.2
Y tế - Giáo dục,Giáo viên,ENFJ,ENFJ,SEI,78,79,85,92,14,Steadiness,S,7.3,6.3,6.3,6.8,8.8,7.3,6.8,7.8,7.8
Y tế - Giáo dục,Bác sĩ,ISTJ/INFJ,ISTJ,ISC,55,93,61,80,23,Conscientiousness,C,7.5,8.0,9.0,9.0,6.5,6.5,6.0,7.0,6.5
Y tế - Giáo dục,Bác sĩ,ISTJ/INFJ,ISTJ,ISC,57,90,52,81,15,Conscientiousness,C,7.2,7.8,8.8,8.8,6.2,6.2,5.8,6.8,6.2
Y tế - Giáo dục,Bác sĩ,ISTJ/INFJ,ISTJ,ISC,52,95,59,84,18,Conscientiousness,C,7.0,7.5,8.5,8.5,6.0,6.0,5.5,6.5,6.0
Y tế - Giáo dục,Bác sĩ,INFJ,INFJ,ISC,69,89,45,86,10,Steadiness,S,8.0,8.5,9.5,9.5,7.0,7.0,6.5,7.5,7.0
Y tế - Giáo dục,Bác sĩ,INFJ,INFJ,ISC,68,93,55,88,10,Steadiness,S,7.8,8.3,9.3,9.3,6.8,6.8,6.3,7.3,6.8
Y tế - Giáo dục,Bác sĩ,INFJ,INFJ,ISC,83,92,42,90,22,Steadiness,S,8.2,8.7,9.7,9.7,7.2,7.2,6.7,7.7,7.2
Y tế - Giáo dục,Bác sĩ,ISTJ,ISTJ,ISC,54,94,58,82,20,Conscientiousness,C,7.4,7.9,8.9,8.9,6.4,6.4,5.9,6.9,6.4
Y tế - Giáo dục,Dược sĩ,ISTJ/INTJ,ISTJ,RCI,60,95,43,76,11,Conscientiousness,C,7.5,7.0,8.5,8.0,6.0,6.0,7.0,6.5,6.0
Y tế - Giáo dục,Dược sĩ,ISTJ/INTJ,ISTJ,RCI,70,92,48,70,22,Conscientiousness,C,8.0,7.5,9.0,8.5,6.5,6.5,7.5,7.0,6.5
Y tế - Giáo dục,Dược sĩ,ISTJ/INTJ,ISTJ,RCI,71,95,40,72,14,Conscientiousness,C,7.8,7.3,8.8,8.3,6.3,6.3,7.3,6.8,6.3
Y tế - Giáo dục,Dược sĩ,INTJ,INTJ,RCI,69,95,41,64,21,Conscientiousness,C,7.6,7.1,8.6,8.1,6.1,6.1,7.1,6.6,6.1
Y tế - Giáo dục,Dược sĩ,INTJ,INTJ,RCI,79,95,27,72,17,Conscientiousness,C,8.2,7.7,9.2,8.7,6.7,6.7,7.7,7.2,6.7
Y tế - Giáo dục,Dược sĩ,INTJ,INTJ,RCI,72,95,33,68,15,Conscientiousness,C,7.9,7.4,8.9,8.4,6.4,6.4,7.4,6.9,6.4
Y tế - Giáo dục,Dược sĩ,ISTJ,ISTJ,RCI,65,94,44,74,18,Conscientiousness,C,7.7,7.2,8.7,8.2,6.2,6.2,7.2,6.7,6.2
Y tế - Giáo dục,Điều dưỡng viên,ISFJ/ESFJ,ISFJ,SIC,62,85,50,82,28,Steadiness,S,6.5,6.0,7.0,7.5,6.5,5.5,5.5,6.5,6.0
Y tế - Giáo dục,Điều dưỡng viên,ISFJ/ESFJ,ISFJ,SIC,58,79,49,95,27,Steadiness,S,6.2,5.8,6.8,7.3,6.2,5.2,5.2,6.2,5.8
Y tế - Giáo dục,Điều dưỡng viên,ISFJ/ESFJ,ISFJ,SIC,59,92,57,95,12,Steadiness,S,6.0,5.5,6.5,7.0,6.0,5.0,5.0,6.0,5.5
Y tế - Giáo dục,Điều dưỡng viên,ESFJ,ESFJ,SIC,49,81,69,95,14,Steadiness,S,6.8,6.3,7.3,7.8,6.8,5.8,5.8,6.8,6.3
Y tế - Giáo dục,Điều dưỡng viên,ESFJ,ESFJ,SIC,56,83,77,95,18,Steadiness,S,6.4,5.9,6.9,7.4,6.4,5.4,5.4,6.4,5.9
Y tế - Giáo dục,Điều dưỡng viên,ESFJ,ESFJ,SIC,60,82,73,95,15,Steadiness,S,6.6,6.1,7.1,7.6,6.6,5.6,5.6,6.6,6.1
Y tế - Giáo dục,Điều dưỡng viên,ISFJ,ISFJ,SIC,60,84,52,86,25,Steadiness,S,6.3,5.8,6.8,7.3,6.3,5.3,5.3,6.3,5.8
Dịch vụ - Vận tải - Du lịch,Phi công,ISTJ/ESTJ,ISTJ,RIC,56,95,59,60,13,Conscientiousness,C,8.5,8.0,6.5,6.0,5.5,9.0,7.5,6.0,5.0
Dịch vụ - Vận tải - Du lịch,Phi công,ISTJ/ESTJ,ISTJ,RIC,57,90,57,63,13,Conscientiousness,C,8.2,7.8,6.2,5.8,5.2,8.8,7.2,5.8,4.8
Dịch vụ - Vận tải - Du lịch,Phi công,ISTJ/ESTJ,ISTJ,RIC,62,95,68,66,10,Conscientiousness,C,8.8,8.5,6.8,6.3,5.8,9.2,7.8,6.3,5.3
Dịch vụ - Vận tải - Du lịch,Phi công,ESTJ,ESTJ,RIC,48,95,74,73,10,Dominance,D,8.0,7.5,6.0,5.5,5.0,8.5,7.0,5.5,4.5
Dịch vụ - Vận tải - Du lịch,Phi công,ESTJ,ESTJ,RIC,51,87,71,70,10,Dominance,D,8.3,7.9,6.3,5.9,5.3,8.9,7.3,5.9,4.9
Dịch vụ - Vận tải - Du lịch,Phi công,ESTJ,ESTJ,RIC,43,95,71,77,10,Dominance,D,7.9,7.4,5.9,5.4,4.9,8.4,6.9,5.4,4.4
Dịch vụ - Vận tải - Du lịch,Phi công,ISTJ,ISTJ,RIC,54,92,62,62,12,Conscientiousness,C,8.6,8.1,6.6,6.1,5.6,9.1,7.6,6.1,5.1
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ESFJ/ENFJ,ESFJ,SEA,62,76,92,95,21,Influence,I,6.5,5.0,5.0,5.0,7.5,8.5,6.5,7.0,6.5
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ESFJ/ENFJ,ESFJ,SEA,72,72,78,90,22,Influence,I,6.8,5.2,5.2,5.2,7.8,8.8,6.8,7.2,6.8
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ESFJ/ENFJ,ESFJ,SEA,65,69,89,95,10,Influence,I,6.2,4.8,4.8,4.8,7.2,8.2,6.2,6.8,6.2
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ENFJ,ENFJ,SEA,68,66,86,86,10,Influence,I,7.0,5.5,5.5,5.5,8.0,9.0,7.0,7.5,7.0
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ENFJ,ENFJ,SEA,74,65,95,84,18,Influence,I,7.2,5.7,5.7,5.7,8.2,9.2,7.2,7.7,7.2
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ENFJ,ENFJ,SEA,79,76,95,86,15,Influence,I,7.5,6.0,6.0,6.0,8.5,9.5,7.5,8.0,7.5
Dịch vụ - Vận tải - Du lịch,Tiếp viên hàng không,ESFJ,ESFJ,SEA,66,74,90,93,18,Influence,I,6.6,5.1,5.1,5.1,7.6,8.6,6.6,7.1,6.6
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ESFP/ENFP,ESFP,SEA,81,58,85,83,13,Influence,I,6.0,5.0,5.0,5.0,7.0,7.5,6.0,8.0,7.0
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ESFP/ENFP,ESFP,SEA,80,59,87,84,12,Influence,I,6.3,5.3,5.3,5.3,7.3,7.8,6.3,8.3,7.3
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ESFP/ENFP,ESFP,SEA,74,62,82,90,21,Influence,I,5.8,4.8,4.8,4.8,6.8,7.3,5.8,7.8,6.8
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ENFP,ENFP,SEA,92,61,88,79,11,Influence,I,6.5,5.5,5.5,5.5,7.5,8.0,6.5,8.5,7.5
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ENFP,ENFP,SEA,86,66,89,79,10,Influence,I,6.8,5.8,5.8,5.8,7.8,8.3,6.8,8.8,7.8
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ENFP,ENFP,SEA,83,65,90,79,10,Influence,I,6.2,5.2,5.2,5.2,7.2,7.7,6.2,8.2,7.2
Dịch vụ - Vận tải - Du lịch,Hướng dẫn viên du lịch,ESFP,ESFP,SEA,78,60,86,85,15,Influence,I,6.4,5.4,5.4,5.4,7.4,7.9,6.4,8.4,7.4
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ISFP/ESTP,ISFP,ARE,80,71,49,63,17,Conscientiousness,C,6.0,5.5,6.5,5.5,6.0,5.5,5.5,5.0,5.0
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ISFP/ESTP,ISFP,ARE,81,76,61,65,26,Conscientiousness,C,6.3,5.8,6.8,5.8,6.3,5.8,5.8,5.3,5.3
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ISFP/ESTP,ISFP,ARE,81,79,55,78,27,Conscientiousness,C,6.5,6.0,7.0,6.0,6.5,6.0,6.0,5.5,5.5
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ESTP,ESTP,ARE,81,64,73,70,17,Dominance,D,6.8,6.3,7.3,6.3,6.8,6.3,6.3,5.8,5.8
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ESTP,ESTP,ARE,75,62,74,64,10,Dominance,D,6.2,5.7,6.7,5.7,6.2,5.7,5.7,5.2,5.2
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ESTP,ESTP,ARE,75,63,77,72,23,Dominance,D,6.4,5.9,6.9,5.9,6.4,5.9,5.9,5.4,5.4
Dịch vụ - Vận tải - Du lịch,Đầu bếp,ISFP,ISFP,ARE,78,73,53,68,22,Conscientiousness,C,6.1,5.6,6.6,5.6,6.1,5.6,5.6,5.1,5.1
